annee_code_dpt;politique (parti);securite (Nombre_de_délits);socio_economie (PIB_par_Inflation);sante (Espérance_de_Vie_H/F);environnemental (Parc_installé_éolien_MW);education (Nombre_Total_Établissements);demographie (Population_Totale);technologie (Dépenses_en_R&D_en_pourcentages)
2022_11;4;12812;30136.86;81.45;1638.0;1;79163;2.22
2022_12;4;6015;30136.86;82.9;1638.0;2;55395;2.22
2022_13;4;118976;38056.45;82.55;97.0;23;479334;2.22
2022_14;4;21231;30612.05;81.25;997.0;5;161509;2.22
2022_15;4;3051;35421.97;81.85;710.0;2;27323;2.22
2022_16;4;11409;31040.68;81.5;1624.0;3;72430;2.22
2022_17;4;21850;31040.68;81.7;1624.0;6;130695;2.22
2022_18;4;8721;29550.47;80.85;1544.0;3;62316;2.22
2022_19;4;5872;31040.68;82.35;1624.0;3;46352;2.22
2022_21;4;15802;29769.06;82.95;1028.0;7;119221;2.22
2022_22;4;15532;31978.71;80.85;1299.0;1;133175;2.22
2022_23;4;3010;31040.68;80.45;1624.0;2;20494;2.22
2022_24;4;10866;31040.68;81.2;1624.0;6;76603;2.22
2022_25;4;17368;29769.06;82.0;1028.0;4;133746;2.22
2022_26;4;18386;35421.97;82.45;710.0;5;122504;2.22
2022_27;4;17532;30612.05;80.9;997.0;19;150218;2.22
2022_28;4;11955;29550.47;81.4;1544.0;12;106858;2.22
2022_29;4;25608;31978.71;81.3;1299.0;4;199882;2.22
2022_30;4;26533;30136.86;82.2;1638.0;3;169269;2.22
2022_31;4;62275;30136.86;83.75;1638.0;12;342224;2.22
2022_32;4;4483;30136.86;82.8;1638.0;0;38130;2.22
2022_33;4;66589;31040.68;82.75;1624.0;9;381004;2.22
2022_34;4;51482;30136.86;82.5;1638.0;3;276341;2.22
2022_35;4;34321;31978.71;83.1;1299.0;2;274467;2.22
2022_36;4;6246;29550.47;80.75;1544.0;2;42397;2.22
2022_37;4;20576;29550.47;82.75;1544.0;3;141030;2.22
2022_38;4;51159;35421.97;83.35;710.0;9;322152;2.22
2022_39;4;7014;29769.06;82.4;1028.0;3;56471;2.22
2022_40;4;13330;31040.68;82.65;1624.0;1;87239;2.22
2022_41;4;8987;29550.47;81.7;1544.0;2;72696;2.22
2022_42;4;26781;35421.97;82.75;710.0;4;185063;2.22
2022_43;4;5958;35421.97;82.0;710.0;4;49614;2.22
2022_44;4;60176;33486.98;82.65;1726.0;2;365238;2.22
2022_45;4;21614;29550.47;82.2;1544.0;1;170502;2.22
2022_46;4;4683;30136.86;82.5;1638.0;0;32646;2.22
2022_47;4;10002;31040.68;81.75;1624.0;0;69572;2.22
2022_48;4;1675;30136.86;81.4;1638.0;0;15861;2.22
2022_49;4;21622;33486.98;83.15;1726.0;7;205012;2.22
2022_50;4;11210;30612.05;81.2;997.0;3;105910;2.22
2022_51;4;21635;30563.58;81.15;4531.0;9;134156;2.22
2022_52;4;5280;30563.58;81.05;4531.0;3;34814;2.22
2022_53;4;7720;33486.98;82.9;1726.0;1;74436;2.22
2022_54;4;25281;30563.58;81.15;4531.0;11;167853;2.22
2022_55;4;5698;30563.58;80.25;4531.0;0;39230;2.22
2022_56;4;21488;31978.71;81.7;1299.0;3;167890;2.22
2022_57;4;30213;30563.58;81.05;4531.0;27;231897;2.22
2022_58;4;5679;29769.06;80.3;1028.0;3;37974;2.22
2022_59;4;109036;29431.67;80.55;5724.0;14;669638;2.22
2022_60;4;28519;29431.67;81.75;5724.0;6;217040;2.22
2022_61;4;8270;30612.05;81.65;997.0;1;58846;2.22
2022_62;4;50282;29431.67;79.75;5724.0;12;363483;2.22
2022_63;4;19316;35421.97;81.95;710.0;5;148925;2.22
2022_64;4;18669;31040.68;82.85;1624.0;3;144169;2.22
2022_65;4;6739;30136.86;81.3;1638.0;5;45349;2.22
2022_66;4;21145;30136.86;80.95;1638.0;0;104312;2.22
2022_67;4;35158;30563.58;82.05;4531.0;13;261617;2.22
2022_68;4;22663;30563.58;82.0;4531.0;12;174493;2.22
2022_69;4;100731;35421.97;83.9;710.0;8;478127;2.22
2022_70;4;5582;29769.06;81.35;1028.0;4;52473;2.22
2022_71;4;14276;29769.06;82.05;1028.0;14;116910;2.22
2022_72;4;16588;33486.98;81.8;1726.0;3;135275;2.22
2022_73;4;14312;35421.97;83.45;710.0;5;102244;2.22
2022_74;4;28107;35421.97;83.7;710.0;5;209281;2.22
2022_75;4;192414;60117.85;84.1;146.0;22;393712;2.22
2022_76;4;45900;30612.05;80.75;997.0;31;300330;2.22
2022_77;4;56238;60117.85;82.45;146.0;4;389523;2.22
2022_78;4;54509;60117.85;84.0;146.0;9;386190;2.22
2022_79;4;9649;31040.68;82.15;1624.0;5;84715;2.22
2022_80;4;19153;29431.67;80.3;5724.0;9;133870;2.22
2022_81;4;10938;30136.86;82.9;1638.0;4;84364;2.22
2022_82;4;6777;30136.86;82.45;1638.0;0;63114;2.22
2022_83;4;46451;38056.45;82.45;97.0;2;224541;2.22
2022_84;4;22228;38056.45;82.25;97.0;2;131359;2.22
2022_85;4;17304;33486.98;82.15;1726.0;8;157694;2.22
2022_86;4;13755;31040.68;82.25;1624.0;4;100948;2.22
2022_87;4;11202;31040.68;82.25;1624.0;5;77196;2.22
2022_88;4;9390;30563.58;81.05;4531.0;5;75879;2.22
2022_89;4;11992;29769.06;79.95;1028.0;6;73506;2.22
2022_90;4;3733;29769.06;81.1;1028.0;2;32219;2.22
2022_91;4;51045;60117.85;83.35;146.0;4;352698;2.22
2022_92;4;80579;60117.85;84.35;146.0;4;398146;2.22
2022_93;4;102721;60117.85;82.0;146.0;2;482107;2.22
2022_94;4;65423;60117.85;83.9;146.0;3;358920;2.22
2022_95;4;57051;60117.85;82.8;146.0;9;358589;2.22
