Département,Année,Délits_total
45,2022,21614
46,1996,4125
46,1997,4117
46,1998,3883
46,1999,4551
46,2000,4513
46,2001,6018
46,2002,5752
46,2003,5713
46,2004,4699
46,2005,4404
46,2006,4332
46,2007,4291
46,2008,4698
46,2009,4635
46,2010,4768
46,2011,4840
46,2012,5269
46,2013,5395
46,2014,6100
46,2015,5705
46,2016,5459
46,2017,6143
46,2018,6720
46,2019,6604
46,2020,5804
46,2021,6190
46,2022,4683
47,1996,12652
47,1997,11193
47,1998,12911
47,1999,13747
47,2000,14236
47,2001,15043
47,2002,15492
47,2003,14566
47,2004,13386
47,2005,13945
47,2006,13387
47,2007,12891
47,2008,12662
47,2009,12928
47,2010,12608
47,2011,12771
47,2012,12935
47,2013,12336
47,2014,13201
47,2015,13092
47,2016,14537
47,2017,14045
47,2018,15509
47,2019,14956
47,2020,12397
47,2021,14105
47,2022,10002
48,1996,1991
48,1997,1665
48,1998,1598
48,1999,2059
48,2000,2183
48,2001,2313
48,2002,2549
48,2003,2160
48,2004,1954
48,2005,1998
48,2006,1897
48,2007,1949
48,2008,2158
48,2009,2075
48,2010,2079
48,2011,2199
48,2012,2103
48,2013,2076
48,2014,2186
48,2015,2153
48,2016,2191
48,2017,2179
48,2018,2172
48,2019,2503
48,2020,2421
48,2021,2524
48,2022,1675
49,1996,30018
49,1997,29275
49,1998,28873
49,1999,27850
49,2000,30937
49,2001,36223
49,2002,34365
49,2003,34434
49,2004,31832
49,2005,32193
49,2006,30717
49,2007,29982
49,2008,29271
49,2009,27887
49,2010,26984
49,2011,28172
49,2012,29104
49,2013,29691
49,2014,29575
49,2015,30660
49,2016,31715
49,2017,31555
49,2018,31533
49,2019,31840
49,2020,28759
49,2021,30627
49,2022,21622
50,1996,15366
50,1997,15530
50,1998,14100
50,1999,16471
50,2000,16843
50,2001,18257
50,2002,19565
50,2003,18442
50,2004,18034
50,2005,17315
50,2006,17227
50,2007,16701
50,2008,16317
50,2009,15528
50,2010,15124
50,2011,14143
50,2012,13418
50,2013,13800
50,2014,14111
50,2015,14377
50,2016,14492
50,2017,15948
50,2018,15868
50,2019,16392
50,2020,14183
50,2021,15800
50,2022,11210
51,1996,32525
51,1997,32990
51,1998,33307
51,1999,31775
51,2000,32369
51,2001,33562
51,2002,37148
51,2003,35954
51,2004,35481
51,2005,36701
51,2006,35921
51,2007,33321
51,2008,34639
51,2009,33152
51,2010,33286
51,2011,32571
51,2012,32138
51,2013,31441
51,2014,32275
51,2015,31730
51,2016,30458
51,2017,30816
51,2018,30552
51,2019,31267
51,2020,27225
51,2021,29948
51,2022,21635
52,1996,7845
52,1997,8082
52,1998,7361
52,1999,7139
52,2000,7945
52,2001,9008
52,2002,10400
52,2003,9738
52,2004,8718
52,2005,8629
52,2006,8587
52,2007,8980
52,2008,9075
52,2009,8731
52,2010,7761
52,2011,8388
52,2012,7775
52,2013,8147
52,2014,8111
52,2015,7803
52,2016,7820
52,2017,7742
52,2018,7942
52,2019,8015
52,2020,6727
52,2021,7479
52,2022,5280
53,1996,7341
53,1997,6989
53,1998,7070
53,1999,7867
53,2000,8174
53,2001,9983
53,2002,9767
53,2003,9521
53,2004,9686
53,2005,9218
53,2006,8651
53,2007,8355
53,2008,8672
53,2009,8640
53,2010,8878
53,2011,8526
53,2012,9317
53,2013,9825
53,2014,10183
53,2015,9925
53,2016,10121
53,2017,10388
53,2018,10330
53,2019,10484
53,2020,9963
53,2021,10550
53,2022,7720
54,1996,38568
54,1997,39710
54,1998,38460
54,1999,36727
54,2000,38228
54,2001,40240
54,2002,43525
54,2003,42486
54,2004,39214
54,2005,40735
54,2006,39246
54,2007,37858
54,2008,36863
54,2009,35960
54,2010,36686
54,2011,34658
54,2012,36355
54,2013,36680
54,2014,37552
54,2015,36988
54,2016,35710
54,2017,34865
54,2018,33611
54,2019,34510
54,2020,31032
54,2021,35203
54,2022,25281
55,1996,7606
55,1997,7326
55,1998,7057
55,1999,7337
55,2000,7967
55,2001,8159
55,2002,9020
55,2003,8017
55,2004,7723
55,2005,7465
55,2006,7488
55,2007,7070
55,2008,7218
55,2009,7023
55,2010,6787
55,2011,6508
55,2012,7002
55,2013,8036
55,2014,7557
55,2015,7367
55,2016,7210
55,2017,7244
55,2018,7393
55,2019,7479
55,2020,7645
55,2021,8128
55,2022,5698
56,1996,23337
56,1997,23868
56,1998,23168
56,1999,22844
56,2000,24972
56,2001,27780
56,2002,29707
56,2003,28304
56,2004,26819
56,2005,26033
56,2006,28166
56,2007,27259
56,2008,26604
56,2009,27111
56,2010,25840
56,2011,26154
56,2012,25382
56,2013,25898
56,2014,25821
56,2015,26184
56,2016,27656
56,2017,28670
56,2018,28108
56,2019,29392
56,2020,25906
56,2021,29485
56,2022,21488
57,1996,49046
57,1997,49042
57,1998,48180
57,1999,47939
57,2000,52179
57,2001,56451
57,2002,57615
57,2003,55005
57,2004,50801
57,2005,50580
57,2006,48586
57,2007,48286
57,2008,48746
57,2009,47721
57,2010,45331
57,2011,46076
57,2012,45914
57,2013,44923
57,2014,44542
57,2015,44333
57,2016,42575
57,2017,43479
57,2018,43127
57,2019,44699
57,2020,39208
57,2021,41506
57,2022,30213
58,1996,8183
58,1997,8277
58,1998,7273
58,1999,7307
58,2000,8656
58,2001,9829
58,2002,10300
58,2003,9539
58,2004,9019
58,2005,9268
58,2006,8313
58,2007,8056
58,2008,7957
58,2009,7544
58,2010,7514
58,2011,7178
58,2012,7558
58,2013,7815
58,2014,8290
58,2015,8557
58,2016,8348
58,2017,9036
58,2018,8102
58,2019,8855
58,2020,8385
58,2021,7891
58,2022,5679
59,1996,178061
59,1997,181091
59,1998,183140
59,1999,179470
59,2000,182851
59,2001,188962
59,2002,189185
59,2003,180913
59,2004,170832
59,2005,170105
59,2006,176134
59,2007,166661
59,2008,165226
59,2009,164016
59,2010,165411
59,2011,162412
59,2012,158545
59,2013,161483
59,2014,154176
59,2015,162583
59,2016,162056
59,2017,160257
59,2018,160566
59,2019,165754
59,2020,143523
59,2021,154501
59,2022,109036
60,1996,42176
60,1997,42531
60,1998,44256
60,1999,42782
60,2000,48426
60,2001,53108
60,2002,55044
60,2003,51366
60,2004,49121
60,2005,45314
60,2006,44683
60,2007,43768
60,2008,43015
60,2009,43966
60,2010,41135
60,2011,42566
60,2012,42040
60,2013,42302
60,2014,43810
60,2015,42656
60,2016,42673
60,2017,41988
60,2018,41336
60,2019,40821
60,2020,37236
60,2021,41238
60,2022,28519
61,1996,9632
61,1997,9788
61,1998,9329
61,1999,10049
61,2000,8835
61,2001,9830
61,2002,9946
61,2003,10117
61,2004,10461
61,2005,10014
61,2006,9904
61,2007,10019
61,2008,10000
61,2009,10733
61,2010,10047
61,2011,9979
61,2012,9911
61,2013,9878
61,2014,10910
61,2015,10809
61,2016,10535
61,2017,11179
61,2018,11033
61,2019,11378
61,2020,10745
61,2021,11584
61,2022,8270
62,1996,78006
62,1997,79109
62,1998,77256
62,1999,81149
62,2000,84627
62,2001,89860
62,2002,92270
62,2003,84570
62,2004,81053
62,2005,83015
62,2006,81131
62,2007,81279
62,2008,80172
62,2009,75871
62,2010,73833
62,2011,72545
62,2012,71090
62,2013,70045
62,2014,71238
62,2015,74385
62,2016,73520
62,2017,71327
62,2018,72706
62,2019,74568
62,2020,65888
