Type;Code_Département;Nom_Département;E_0_19_ans;E_20_39_ans;E_40_59_ans;E_60_74_ans;E_75_et_plus;E_Total;F_0_19_ans;F_20_39_ans;F_40_59_ans;F_60_74_ans;F_75_et_plus;F_Total;H_0_19_ans;H_20_39_ans;H_40_59_ans;H_60_74_ans;H_75_et_plus;H_Total;Année;Code_Département_Num
DOM;DOM;Départements d'Outre-Mer;508875;319525;125051;50703;1575159;571005;261863;164489;67829;31834;807488;281473;247012;155036;57222;18869;767671;289532;1997;
Métropole + DOM;FMD;France métropolitaine et DOM;17327560;14733192;8096527;3907151;59691177;15626747;8686786;7398051;4415201;2551445;30687759;7636276;8640774;7335141;3681326;1355706;29003418;7990471;1997;
Métropole;FRM;France métropolitaine;16973323;14187229;8014488;3702692;57935959;15058227;8500505;7111013;4379076;2432427;29780508;7357487;8472818;7076216;3635412;1270265;28155451;7700740;1996;
DOM;DOM;Départements d'Outre-Mer;504045;308777;121347;48635;1551454;568650;258808;158796;65835;30643;794471;280389;245237;149981;55512;17992;756983;288261;1996;
Métropole + DOM;FMD;France métropolitaine et DOM;17477368;14496006;8135835;3751327;59487413;15626877;8759313;7269809;4444911;2463070;30574979;7637876;8718055;7226197;3690924;1288257;28912434;7989001;1996;
Métropole;FRM;France métropolitaine;17108296;13960425;8063934;3535519;57752535;15084361;8563449;6989580;4412547;2339194;29674479;7369709;8544847;6970845;3651387;1196325;28078056;7714652;1995;
DOM;DOM;Départements d'Outre-Mer;498851;298060;118198;46169;1528042;566764;255626;153207;64150;29207;781646;279456;243225;144853;54048;16962;746396;287308;1995;
Métropole + DOM;FMD;France métropolitaine et DOM;17607147;14258485;8182132;3581688;59280577;15651125;8819075;7142787;4476697;2368401;30456125;7649165;8788072;7115698;3705435;1213287;28824452;8001960;1995;
Métropole;FRM;France métropolitaine;17190600;13749536;7900918;3544179;57565008;15179775;8600071;6878643;4324808;2347324;29565565;7414719;8590529;6870893;3576110;1196855;27999443;7765056;1994;
DOM;DOM;Départements d'Outre-Mer;493888;287521;114596;44339;1505069;564725;252684;147604;62251;28123;769112;278450;241204;139917;52345;16216;735957;286275;1994;
Métropole + DOM;FMD;France métropolitaine et DOM;17684488;14037057;8015514;3588518;59070077;15744500;8852755;7026247;4387059;2375447;30334677;7693169;8831733;7010810;3628455;1213071;28735400;8051331;1994;
Métropole;FRM;France métropolitaine;17188587;13542190;7704985;3602926;57369161;15330473;8592930;6771015;4217577;2384130;29453716;7488064;8595657;6771175;3487408;1218796;27915445;7842409;1993;
DOM;DOM;Départements d'Outre-Mer;489449;276851;111456;42567;1482841;562518;249763;141946;60554;27046;756838;277529;239686;134905;50902;15521;726003;284989;1993;
Métropole + DOM;FMD;France métropolitaine et DOM;17678036;13819041;7816441;3645493;58852002;15892991;8842693;6912961;4278131;2411176;30210554;7765593;8835343;6906080;3538310;1234317;28641448;8127398;1993;
Métropole;FRM;France métropolitaine;17163472;13342685;7446661;3684200;57110533;15473515;8577685;6670262;4076549;2432609;29315412;7558307;8585787;6672423;3370112;1251591;27795121;7915208;1992;
DOM;DOM;Départements d'Outre-Mer;484523;266604;108652;40915;1460704;560010;246736;136585;59029;26022;744660;276288;237787;130019;49623;14893;716044;283722;1992;
Métropole + DOM;FMD;France métropolitaine et DOM;17647995;13609289;7555313;3725115;58571237;16033525;8824421;6806847;4135578;2458631;30060072;7834595;8823574;6802442;3419735;1266484;28511165;8198930;1992;
Métropole;FRM;France métropolitaine;17126616;13153847;7169783;3784960;56840661;15605455;8554429;6577625;3924854;2491308;29172305;7624089;8572187;6576222;3244929;1293652;27668356;7981366;1991;
DOM;DOM;Départements d'Outre-Mer;479418;257167;106142;39277;1439474;557470;243574;131591;57787;24965;732965;275048;235844;125576;48355;14312;706509;282422;1991;
Métropole + DOM;FMD;France métropolitaine et DOM;17606034;13411014;7275925;3824237;58280135;16162925;8798003;6709216;3982641;2516273;29905270;7899137;8808031;6701798;3293284;1307964;28374865;8263788;1991;
Métropole;FRM;France métropolitaine;17153178;12940589;6925168;3838418;56577000;15719647;8561951;6475873;3794174;2521030;29033000;7679972;8591227;6464716;3130994;1317388;27544000;8039675;1990;
DOM;DOM;Départements d'Outre-Mer;479333;252001;105286;39035;1421429;545774;242837;128753;57215;24787;722899;269307;236496;123248;48071;14248;698530;276467;1990;
Métropole + DOM;FMD;France métropolitaine et DOM;17632511;13192590;7030454;3877453;57998429;16265421;8804788;6604626;3851389;2545817;29755899;7949279;8827723;6587964;3179065;1331636;28242530;8316142;1990;
Métropole;FRM;France métropolitaine;17166752;12708635;6837855;3763501;56269810;15793067;8560543;6363728;3758183;2474951;28871196;7713791;8606209;6344907;3079672;1288550;27398614;8079276;1989;
Métropole;FRM;France métropolitaine;17203209;12481960;6751421;3676862;55966142;15852690;8567621;6256912;3721429;2422434;28710511;7742115;8635588;6225048;3029992;1254428;27255631;8110575;1988;
Métropole;FRM;France métropolitaine;17234552;12261117;6680584;3585893;55681780;15919634;8571548;6152870;3692172;2366402;28556020;7773028;8663004;6108247;2988412;1219491;27125760;8146606;1987;
Métropole;FRM;France métropolitaine;17207202;12088981;6585146;3530518;55411238;15999391;8544884;6072404;3647552;2331893;28408898;7812165;8662318;6016577;2937594;1198625;27002340;8187226;1986;
Métropole;FRM;France métropolitaine;16980965;12118273;6506109;3460136;55157303;16091820;8419461;6091127;3612270;2287709;28267183;7856616;8561504;6027146;2893839;1172427;26890120;8235204;1985;
Métropole;FRM;France métropolitaine;16733175;12144340;6438045;3380078;54894854;16199216;8281240;6107959;3582198;2237467;28117576;7908712;8451935;6036381;2855847;1142611;26777278;8290504;1984;
Métropole;FRM;France métropolitaine;16483945;12184192;6371012;3308095;54649984;16302740;8140542;6131887;3553182;2193119;27978468;7959738;8343403;6052305;2817830;1114976;26671516;8343002;1983;
Métropole;FRM;France métropolitaine;16217996;12269187;6289344;3231469;54335000;16327004;7992368;6178641;3515651;2145917;27804800;7972223;8225628;6090546;2773693;1085552;26530200;8354781;1982;
Métropole;FRM;France métropolitaine;15880220;12419113;6189906;3159673;54028630;16379718;7814009;6262717;3466782;2102347;27647654;8001799;8066211;6156396;2723124;1057326;26380976;8377919;1981;
Métropole;FRM;France métropolitaine;15594098;12561019;6079033;3078614;53731387;16418623;7657794;6339205;3412572;2054209;27487598;8023818;7936304;6221814;2666461;1024405;26243789;8394805;1980;
Métropole;FRM;France métropolitaine;15351260;12414968;6210532;2993390;53481073;16510923;7523715;6264240;3486078;2002426;27347548;8071089;7827545;6150728;2724454;990964;26133525;8439834;1979;
Métropole;FRM;France métropolitaine;15132004;12226703;6389578;2910547;53271566;16612734;7399630;6168038;3581889;1952958;27224841;8122326;7732374;6058665;2807689;957589;26046725;8490408;1978;
Métropole;FRM;France métropolitaine;14901863;11989832;6613226;2810497;53019005;16703587;7269078;6047715;3700755;1894303;27080428;8168577;7632785;5942117;2912471;916194;25938577;8535010;1977;
Métropole;FRM;France métropolitaine;14678387;11726623;6861583;2722534;52798338;16809211;7140471;5914521;3831169;1843941;26951774;8221672;7537916;5812102;3030414;878593;25846564;8587539;1976;
Métropole;FRM;France métropolitaine;14486874;11552754;7015885;2656422;52600000;16888065;7028533;5822478;3909075;1807479;26832395;8264830;7458341;5730276;3106810;848943;25767605;8623235;1975;
