Code_Département;Nom_Département;0-19 ans;20-39 ans;40-59 ans;60-74 ans;75 ans et plus;Total;H_0-19 ans;H_20-39 ans;H_40-59 ans;H_60-74 ans;H_75 ans et plus;H_Total;F_0-19 ans;F_20-39 ans;F_40-59 ans;F_60-74 ans;F_75 ans et plus;F_Total;Année
France métropolitaine et DOM;;16265421;17632511;13192590;7030454;3877453;57998429;8316142;8827723;6587964;3179065;1331636;28242530;7949279;8804788;6604626;3851389;2545817;29755899;1990
France métropolitaine;;15793067;17166752;12708635;6837855;3763501;56269810;8079276;8606209;6344907;3079672;1288550;27398614;7713791;8560543;6363728;3758183;2474951;28871196;1989
France métropolitaine;;15852690;17203209;12481960;6751421;3676862;55966142;8110575;8635588;6225048;3029992;1254428;27255631;7742115;8567621;6256912;3721429;2422434;28710511;1988
France métropolitaine;;15919634;17234552;12261117;6680584;3585893;55681780;8146606;8663004;6108247;2988412;1219491;27125760;7773028;8571548;6152870;3692172;2366402;28556020;1987
France métropolitaine;;15999391;17207202;12088981;6585146;3530518;55411238;8187226;8662318;6016577;2937594;1198625;27002340;7812165;8544884;6072404;3647552;2331893;28408898;1986
France métropolitaine;;16091820;16980965;12118273;6506109;3460136;55157303;8235204;8561504;6027146;2893839;1172427;26890120;7856616;8419461;6091127;3612270;2287709;28267183;1985
France métropolitaine;;16199216;16733175;12144340;6438045;3380078;54894854;8290504;8451935;6036381;2855847;1142611;26777278;7908712;8281240;6107959;3582198;2237467;28117576;1984
France métropolitaine;;16302740;16483945;12184192;6371012;3308095;54649984;8343002;8343403;6052305;2817830;1114976;26671516;7959738;8140542;6131887;3553182;2193119;27978468;1983
France métropolitaine;;16327004;16217996;12269187;6289344;3231469;54335000;8354781;8225628;6090546;2773693;1085552;26530200;7972223;7992368;6178641;3515651;2145917;27804800;1982
France métropolitaine;;16379718;15880220;12419113;6189906;3159673;54028630;8377919;8066211;6156396;2723124;1057326;26380976;8001799;7814009;6262717;3466782;2102347;27647654;1981
France métropolitaine;;16418623;15594098;12561019;6079033;3078614;53731387;8394805;7936304;6221814;2666461;1024405;26243789;8023818;7657794;6339205;3412572;2054209;27487598;1980
France métropolitaine;;16510923;15351260;12414968;6210532;2993390;53481073;8439834;7827545;6150728;2724454;990964;26133525;8071089;7523715;6264240;3486078;2002426;27347548;1979
France métropolitaine;;16612734;15132004;12226703;6389578;2910547;53271566;8490408;7732374;6058665;2807689;957589;26046725;8122326;7399630;6168038;3581889;1952958;27224841;1978
France métropolitaine;;16703587;14901863;11989832;6613226;2810497;53019005;8535010;7632785;5942117;2912471;916194;25938577;8168577;7269078;6047715;3700755;1894303;27080428;1977
France métropolitaine;;16809211;14678387;11726623;6861583;2722534;52798338;8587539;7537916;5812102;3030414;878593;25846564;8221672;7140471;5914521;3831169;1843941;26951774;1976
France métropolitaine;;16888065;14486874;11552754;7015885;2656422;52600000;8623235;7458341;5730276;3106810;848943;25767605;8264830;7028533;5822478;3909075;1807479;26832395;1975
